id,category,tamil,translit,english,image
1,conversation,மன்னிக்கவும். / மன்னிக்கவும்,Mannikkavum. / Mannikkavum,Excuse me. / Sorry.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgqRiWksok_DcYcr4mPUzK19sx-yDbGwWkfwHP4BFlKupyfCyhRGjZco70ig&s
2,conversation,கவைலப்படாேத,Kavalaippatate,Don`t worry.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFGG6D-mso1NakBUqJSZ7L6KLTSCM5iOZLgI4KdVUY7UQ90FnrGP5EtRchbg&s
3,conversation,காைல வணக்கம்,Kalai vanakkam,Good morning.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9_XY4DAngd9GfqE3PtrKL1wCZZ3Sr94pzCNi0km9_Rk3Ms00d4Zar5pbzqv4&s
4,conversation,மதிய வணக்கம்,Matiya vanakkam,Good afternoon.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfU7K2vdN7KHlAZjk2h7mPmVJebtkr6dvdM1A-had2yTxj3m9dZBc1azY42g&s
5,conversation,மாைல வணக்கம்,Malai vanakkam,Good evening.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmnSshhX2z2fgAAXL7qs1QHIm_SSW7UJ1mRlaBZ0AOFEs3b5u-a-h4PBH1lpI&s
6,conversation,இனிய இரவு,Iniya iravu,Good night.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB7uAP38byDdmgILTRD7ogp0Licp2n9D18kfWgnYiLsHuHci-axRIOye6PvCE&s
7,conversation,பிரியாவிைட,Piriyavitai,Goodbye.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCknBhlJNzpS1ivi4ELEu6qlB8r9a2bpgWVBZLZt7nPaScqn7M2Czlqj1QDQ&s
8,conversation,வருகிேறன்,Varukiren,Bye.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLL4xa4wcPmWhwgWQ9ea3kQh-L5NoUqetRpn0LiabYHnyNVDUytxx-Z8D4oWo&s
9,conversation,எப்படி இருக்கிறீர்கள்?,Eppati irukkirirkal?,How are you?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHvvlR_hjImGuBG0mW1E9l1nGcVA-PdhtXYxhE4QPFbuPhndd3r5Cg9SyYjg&s
10,conversation,நான் நலமாக இருக்கிேறன். மற்றும் நீங்கள்?,Nan nalamaka irukkiren. Marrum ninkal?,I am fine. And you?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIG5H_9bUnMfpoMnhtDbTQ4JdosZClSKQD1cmPMKp3xeryhrKMWj3oae1FcQ&s
11,conversation,உங்கள் ெபயர் என்ன?,Unkal peyar enna?,What is your name?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnZDHnymHGvIubjDUyTTD20DwM1df6pQrdGjqjBgvD7145k0e8sGadqexK7w&s
12,conversation,உங்கைள சந்திப்பதில் மகிழ்ச்சி அைடகிேறன்,Unkalai cantippatil makilcci ataikiren,I am pleased to meet you.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnlhPnQbfz6B96QE9pLlhuCB6zbm9ociSAJgtaE8966uroy4EcgGgOBjoSXQ0&s
13,conversation,ஆசீர்வதிக்கிேறன்! (தும்மும்ேபாது),Acirvatikkiren! [tum'mumpotu],Bless you! (when sneezing),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqxq2Q4z-9lvgVpHz0bQ2L456CjZmsdisD5s6PdZYD2wRPRQc9jnc4mmJsNA&s
14,conversation,வாழ்த்து,vaazhthu,Cheers!,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYQiYh8TQzp35z7U_gAf2BWvljj6Exc_ItRgoyzaK8HT52UHpqAfD24doR0g&s
15,conversation,நல்ல அதிர்ஷ்டம்!,Nalla atirstam!,Good Luck!,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW9JAGHPEBYRl30H0RA6DhVSWUv1ZhPo7UX4lP2l_nTmCNeGvlKwnk44Uaxw&s
16,conversation,பிறந்தநாள் வாழ்த்துக்கள்!,Pirantanal valttukkal!,Happy Birthday!,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnJ70c9Sq_sfNywkmTngjtYiyG13PX386A9My7vaWVkfC6ORWp230XwhFFKA&s
17,conversation,வாழ்த்துக்கள்!,Valttukkal!,Congratulation!,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwKPYNgllWYcxBj0nQJPiVhceaxZv6cRETp_ZVBzU0rmXXdptXot4sDH6WL9Q&s
18,conversation,நீங்கள் இங்கு வசிக்கிறீர்களா?,Ninkal inku vacikkirirkala?,Do you live here?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh5dvU2iTUfRJm5wDGEJ8Cx8J8QfTPnoUl7TJJ-2935dQQBt7mCKK1KxK_FQ&s
